company,year,month,total_aset,total_liabilitas,total_ekuitas,laba_rugi_bersih_periode_berjalan,report_date
PT BANK CENTRAL ASIA Tbk,2024,5,1364424856,1138386239,226038617,21633871,2024-05-31
PT BANK CENTRAL ASIA Tbk,2024,7,1379197093,1143276905,235920188,31396033,2024-07-31
PT BANK CENTRAL ASIA Tbk,2024,8,1400604114,1159841409,240762705,35990685,2024-08-31
PT BANK CENTRAL ASIA Tbk,2024,10,1396684240,1145652406,251031834,46226027,2024-10-31
PT BANK CENTRAL ASIA Tbk,2024,11,1415407416,1166218740,249188676,50472852,2024-11-30
PT BANK CENTRAL ASIA Tbk,2025,1,1430855803,1172807411,258048392,4726267,2025-01-31
PT BANK CENTRAL ASIA Tbk,2025,2,1427410405,1164912397,262498008,8975717,2025-02-28
PT BANK CENTRAL ASIA Tbk,2025,4,1456437422,1213453222,242984200,20211428,2025-04-30
PT BANK CENTRAL ASIA Tbk,2025,5,1467183209,1219341255,247841954,25162919,2025-05-31
PT BANK CENTRAL ASIA Tbk,2025,7,1466750654,1208995963,257754691,34707591,2025-07-31
PT BANK CENTRAL ASIA Tbk,2025,8,1476024326,1213573471,262450855,39058614,2025-08-31
PT BANK CENTRAL ASIA Tbk,2025,10,1498655101,1226872798,271782303,48256793,2025-10-31
